id,education,joining_year,city,payment_tier,age,gender,ever_benched,years_experience,leave_or_not
1,Bachelors,2017,Bangalore,3,34,Male,No,0,0
4,Masters,2016,Bangalore,3,27,Male,No,5,1
6,Bachelors,2016,Bangalore,3,22,Male,No,0,0
8,Bachelors,2016,Bangalore,3,34,Female,No,2,1
11,Masters,2012,Bangalore,3,27,Male,No,5,1
14,Bachelors,2016,Bangalore,3,39,Male,No,2,0
15,Bachelors,2012,Bangalore,3,37,Male,No,4,0
16,Bachelors,2017,Bangalore,1,29,Male,No,3,0
17,Bachelors,2014,Bangalore,3,34,Female,No,2,0
21,Bachelors,2012,Bangalore,3,37,Male,No,0,0
24,Bachelors,2015,Bangalore,3,27,Male,Yes,5,0
25,Bachelors,2017,Bangalore,3,29,Male,No,4,0
26,Bachelors,2013,Bangalore,3,22,Female,Yes,0,0
27,Bachelors,2016,Bangalore,3,37,Male,No,2,0
28,Bachelors,2015,Bangalore,3,23,Male,No,1,0
32,Bachelors,2014,Bangalore,3,23,Male,No,1,0
33,Bachelors,2018,Bangalore,3,26,Male,No,4,1
34,Bachelors,2016,Bangalore,3,40,Male,No,5,0
36,Bachelors,2014,Bangalore,1,30,Female,No,3,0
41,Bachelors,2015,Bangalore,3,36,Male,No,1,0
43,Bachelors,2013,Bangalore,3,30,Male,No,3,1
44,Bachelors,2014,Bangalore,3,36,Male,No,0,0
46,Bachelors,2014,Bangalore,3,23,Female,No,1,0
50,Bachelors,2013,Bangalore,3,30,Female,No,1,0
53,Bachelors,2016,Bangalore,3,34,Female,No,0,0
54,Bachelors,2014,Bangalore,3,31,Female,Yes,5,0
57,Bachelors,2016,Bangalore,3,38,Male,No,2,0
62,Bachelors,2015,Bangalore,3,30,Male,No,5,0
63,PHD,2013,Bangalore,2,25,Male,No,3,1
65,Bachelors,2016,Bangalore,3,34,Male,No,4,0
66,Bachelors,2018,Bangalore,3,40,Male,No,1,1
67,PHD,2013,Bangalore,3,26,Male,No,4,0
69,Bachelors,2015,Bangalore,3,24,Female,No,2,0
70,Masters,2017,Bangalore,3,40,Female,No,2,1
71,Bachelors,2018,Bangalore,3,23,Female,No,1,1
72,Masters,2017,Bangalore,3,31,Male,No,4,0
74,Bachelors,2014,Bangalore,1,27,Male,No,5,0
76,Bachelors,2015,Bangalore,3,40,Male,No,0,1
77,Bachelors,2014,Bangalore,1,23,Female,No,1,0
78,Bachelors,2017,Bangalore,3,23,Female,No,1,0
79,Bachelors,2012,Bangalore,3,39,Male,No,1,0
82,Bachelors,2013,Bangalore,3,31,Female,No,0,1
83,Bachelors,2016,Bangalore,3,38,Male,No,5,0
84,Bachelors,2017,Bangalore,3,25,Female,No,3,0
85,Bachelors,2015,Bangalore,3,27,Female,Yes,5,1
89,Bachelors,2014,Bangalore,3,28,Male,No,4,0
91,Bachelors,2018,Bangalore,3,30,Male,No,0,1
95,Bachelors,2014,Bangalore,3,39,Male,No,3,1
96,PHD,2018,Bangalore,3,26,Male,No,4,1
97,Bachelors,2016,Bangalore,3,31,Female,No,0,0
98,Bachelors,2014,Bangalore,3,27,Male,No,5,1
99,Bachelors,2014,Bangalore,3,29,Female,No,0,0
100,Bachelors,2015,Bangalore,3,24,Female,No,2,1
108,Bachelors,2017,Bangalore,3,28,Male,No,1,0
110,Bachelors,2015,Bangalore,2,25,Female,No,3,1
111,Bachelors,2015,Bangalore,3,27,Female,No,5,0
113,Bachelors,2013,Bangalore,3,27,Male,No,5,1
114,Bachelors,2012,Bangalore,3,25,Male,No,3,0
117,Bachelors,2015,Bangalore,3,28,Male,No,2,0
119,Bachelors,2017,Bangalore,3,26,Female,No,4,0
121,Bachelors,2012,Bangalore,1,28,Female,No,3,0
124,Bachelors,2012,Bangalore,3,26,Male,No,4,1
125,Bachelors,2014,Bangalore,3,28,Female,No,3,0
127,Bachelors,2013,Bangalore,3,28,Male,No,1,0
129,Bachelors,2018,Bangalore,3,25,Male,No,3,1
131,Bachelors,2017,Bangalore,3,26,Female,No,4,0
132,Bachelors,2013,Bangalore,3,28,Male,No,1,1
134,Masters,2017,Bangalore,3,26,Male,No,4,0
140,Bachelors,2013,Bangalore,3,26,Male,No,4,0
144,Bachelors,2016,Bangalore,3,26,Male,No,4,0
145,Bachelors,2013,Bangalore,3,27,Female,No,5,0
147,Bachelors,2014,Bangalore,3,25,Male,No,3,0
149,Masters,2013,Bangalore,1,25,Male,No,3,1
152,Bachelors,2016,Bangalore,3,24,Male,No,2,1
154,Bachelors,2014,Bangalore,3,26,Male,No,4,0
157,Bachelors,2013,Bangalore,3,28,Female,No,3,0
158,Bachelors,2012,Bangalore,3,24,Male,No,2,1
159,Bachelors,2015,Bangalore,3,25,Male,No,3,1
160,Bachelors,2016,Bangalore,3,28,Male,No,3,0
